timestamp,side,price,quantity
2025-01-01 00:30:00,ask,2004.24000000,1.66340000
2025-01-01 00:30:00,ask,2004.25000000,8.37500000
2025-01-01 00:30:00,ask,2004.28000000,0.00260000
2025-01-01 00:30:00,ask,2004.29000000,7.99670000
2025-01-01 00:30:00,ask,2004.30000000,20.02400000
2025-01-01 00:30:00,ask,2004.31000000,0.01110000
2025-01-01 00:30:00,ask,2004.32000000,5.19670000
2025-01-01 00:30:00,ask,2004.33000000,7.28490000
2025-01-01 00:30:00,ask,2004.34000000,9.98200000
2025-01-01 00:30:00,ask,2004.35000000,10.86880000
2025-01-01 00:30:00,ask,2004.36000000,0.07560000
2025-01-01 00:30:00,ask,2004.37000000,2.53500000
2025-01-01 00:30:00,ask,2004.38000000,0.00300000
2025-01-01 01:00:00,bid,2003.13000000,22.22940000
2025-01-01 01:00:00,bid,2003.12000000,5.24000000
2025-01-01 01:00:00,bid,2003.11000000,1.34000000
2025-01-01 01:00:00,bid,2003.10000000,0.00810000
2025-01-01 01:00:00,bid,2003.09000000,0.00260000
2025-01-01 01:00:00,bid,2003.08000000,0.00540000
2025-01-01 01:00:00,bid,2003.07000000,1.54860000
2025-01-01 01:00:00,bid,2003.05000000,0.00260000
2025-01-01 01:00:00,bid,2003.04000000,0.05800000
2025-01-01 01:00:00,bid,2003.03000000,17.49530000
2025-01-01 01:00:00,bid,2003.01000000,4.00330000
2025-01-01 01:00:00,bid,2003.00000000,0.00760000
2025-01-01 01:00:00,bid,2002.99000000,0.00680000
2025-01-01 01:00:00,bid,2002.98000000,0.00300000
2025-01-01 01:00:00,bid,2002.96000000,0.12490000
2025-01-01 01:00:00,bid,2002.95000000,0.05000000
2025-01-01 01:00:00,bid,2002.92000000,3.26710000
2025-01-01 01:00:00,bid,2002.91000000,10.00390000
2025-01-01 01:00:00,bid,2002.90000000,7.12880000
2025-01-01 01:00:00,bid,2002.88000000,0.00300000
2025-01-01 01:00:00,bid,2002.87000000,0.00260000
2025-01-01 01:00:00,bid,2002.86000000,0.05000000
2025-01-01 01:00:00,bid,2002.85000000,0.04990000
2025-01-01 01:00:00,bid,2002.84000000,0.00300000
2025-01-01 01:00:00,bid,2002.83000000,0.72640000
2025-01-01 01:00:00,bid,2002.82000000,0.08980000
2025-01-01 01:00:00,bid,2002.81000000,2.52720000
2025-01-01 01:00:00,bid,2002.80000000,23.99000000
2025-01-01 01:00:00,bid,2002.79000000,2.08480000
2025-01-01 01:00:00,bid,2002.78000000,1.12610000
2025-01-01 01:00:00,bid,2002.77000000,0.32600000
2025-01-01 01:00:00,bid,2002.76000000,0.13000000
2025-01-01 01:00:00,bid,2002.73000000,0.71290000
2025-01-01 01:00:00,bid,2002.72000000,4.01330000
2025-01-01 01:00:00,bid,2002.71000000,0.27280000
2025-01-01 01:00:00,bid,2002.70000000,8.44330000
2025-01-01 01:00:00,bid,2002.69000000,0.54260000
2025-01-01 01:00:00,bid,2002.68000000,7.57360000
2025-01-01 01:00:00,bid,2002.67000000,0.54510000
2025-01-01 01:00:00,bid,2002.66000000,0.10420000
2025-01-01 01:00:00,bid,2002.65000000,0.02000000
2025-01-01 01:00:00,bid,2002.64000000,0.06000000
2025-01-01 01:00:00,bid,2002.63000000,0.00300000
2025-01-01 01:00:00,bid,2002.62000000,0.27000000
2025-01-01 01:00:00,bid,2002.61000000,21.86420000
2025-01-01 01:00:00,bid,2002.60000000,8.61080000
2025-01-01 01:00:00,bid,2002.59000000,3.85840000
2025-01-01 01:00:00,bid,2002.57000000,0.54950000
2025-01-01 01:00:00,bid,2002.56000000,4.12650000
2025-01-01 01:00:00,bid,2002.55000000,0.00810000
2025-01-01 01:00:00,bid,2002.52000000,5.00010000
2025-01-01 01:00:00,bid,2002.51000000,1.62850000
2025-01-01 01:00:00,bid,2002.50000000,20.02750000
2025-01-01 01:00:00,bid,2002.49000000,0.00810000
2025-01-01 01:00:00,bid,2002.48000000,1.43580000
2025-01-01 01:00:00,bid,2002.46000000,0.00720000
2025-01-01 01:00:00,bid,2002.45000000,1.68090000
2025-01-01 01:00:00,bid,2002.44000000,0.18640000
2025-01-01 01:00:00,bid,2002.43000000,0.00510000
2025-01-01 01:00:00,bid,2002.42000000,0.00300000
2025-01-01 01:00:00,bid,2002.41000000,0.10490000
2025-01-01 01:00:00,bid,2002.40000000,14.44700000
2025-01-01 01:00:00,bid,2002.39000000,27.49230000
2025-01-01 01:00:00,bid,2002.37000000,0.01000000
2025-01-01 01:00:00,bid,2002.36000000,0.12490000
2025-01-01 01:00:00,bid,2002.35000000,2.53800000
2025-01-01 01:00:00,bid,2002.33000000,0.33210000
2025-01-01 01:00:00,bid,2002.32000000,0.53260000
2025-01-01 01:00:00,bid,2002.30000000,24.32170000
2025-01-01 01:00:00,bid,2002.28000000,4.32980000
2025-01-01 01:00:00,bid,2002.27000000,2.99000000
2025-01-01 01:00:00,bid,2002.26000000,31.54730000
2025-01-01 01:00:00,bid,2002.25000000,0.00510000
2025-01-01 01:00:00,bid,2002.24000000,1.79660000
2025-01-01 01:00:00,bid,2002.23000000,4.31860000
2025-01-01 01:00:00,bid,2002.22000000,23.55350000
2025-01-01 01:00:00,bid,2002.21000000,6.05540000
2025-01-01 01:00:00,bid,2002.20000000,2.54840000
2025-01-01 01:00:00,bid,2002.19000000,0.00380000
